,ds,symbol,close,volume,ma50,ma200
0,1990-01-02,PG,8.8125,5742400.0,,
1,1990-01-03,PG,8.796875,6478400.0,,
2,1990-01-04,PG,8.625,6286400.0,,
3,1990-01-05,PG,8.46875,4283200.0,,
4,1990-01-08,PG,8.625,2887200.0,,
5,1990-01-09,PG,8.625,5472000.0,,
6,1990-01-10,PG,8.671875,4456000.0,,
7,1990-01-11,PG,8.796875,3821600.0,,
8,1990-01-12,PG,8.46875,6524800.0,,
9,1990-01-15,PG,8.5,3548000.0,,
10,1990-01-16,PG,8.609375,5158400.0,,
11,1990-01-17,PG,8.5625,4715200.0,,
12,1990-01-18,PG,8.6875,4432800.0,,
13,1990-01-19,PG,8.625,6000000.0,,
14,1990-01-22,PG,8.421875,4911200.0,,
15,1990-01-23,PG,8.265625,6199200.0,,
16,1990-01-24,PG,8.28125,5979200.0,,
17,1990-01-25,PG,7.84375,13050400.0,,
18,1990-01-26,PG,7.890625,12151200.0,,
19,1990-01-29,PG,7.828125,4562400.0,,
20,1990-01-30,PG,7.84375,5979200.0,,
21,1990-01-31,PG,8.0,6228000.0,,
22,1990-02-01,PG,8.078125,5135200.0,,
23,1990-02-02,PG,8.140625,3768000.0,,
24,1990-02-05,PG,8.203125,3948000.0,,
25,1990-02-06,PG,8.140625,4194400.0,,
26,1990-02-07,PG,8.234375,4373600.0,,
27,1990-02-08,PG,8.1875,4962400.0,,
28,1990-02-09,PG,8.28125,4240000.0,,
29,1990-02-12,PG,8.140625,2880800.0,,
30,1990-02-13,PG,8.140625,4260000.0,,
31,1990-02-14,PG,8.203125,2314400.0,,
32,1990-02-15,PG,8.328125,2984800.0,,
33,1990-02-16,PG,8.359375,5103200.0,,
34,1990-02-20,PG,8.15625,3996800.0,,
35,1990-02-21,PG,8.078125,4656000.0,,
36,1990-02-22,PG,7.890625,4048000.0,,
37,1990-02-23,PG,7.8125,4683200.0,,
38,1990-02-26,PG,7.890625,2842400.0,,
39,1990-02-27,PG,7.890625,2995200.0,,
40,1990-02-28,PG,7.984375,3504000.0,,
41,1990-03-01,PG,7.921875,3273600.0,,
42,1990-03-02,PG,7.921875,4338400.0,,
43,1990-03-05,PG,7.921875,3295200.0,,
44,1990-03-06,PG,7.921875,3928800.0,,
45,1990-03-07,PG,7.921875,5844000.0,,
46,1990-03-08,PG,8.125,4908000.0,,
47,1990-03-09,PG,8.109375,5536000.0,,
48,1990-03-12,PG,8.015625,3555200.0,,
49,1990-03-13,PG,8.015625,3976000.0,8.2253125,
50,1990-03-14,PG,8.140625,4073600.0,8.211875,
51,1990-03-15,PG,8.078125,3354400.0,8.1975,
52,1990-03-16,PG,8.28125,8744000.0,8.190625,
53,1990-03-19,PG,8.4375,5091200.0,8.19,
54,1990-03-20,PG,8.515625,6793600.0,8.1878125,
55,1990-03-21,PG,8.5,2896800.0,8.1853125,
56,1990-03-22,PG,8.34375,4032000.0,8.17875,
57,1990-03-23,PG,8.40625,3397600.0,8.1709375,
58,1990-03-26,PG,8.515625,4994400.0,8.171875,
59,1990-03-27,PG,8.625,2451200.0,8.174375,
60,1990-03-28,PG,8.609375,2824800.0,8.174375,
61,1990-03-29,PG,8.53125,2586400.0,8.17375,
62,1990-03-30,PG,8.46875,3866400.0,8.169375,
63,1990-04-02,PG,8.453125,2668800.0,8.1659375,
64,1990-04-03,PG,8.65625,3745600.0,8.170625,
65,1990-04-04,PG,8.53125,3900000.0,8.1759375,
66,1990-04-05,PG,8.59375,3765600.0,8.1821875,
67,1990-04-06,PG,8.578125,3424800.0,8.196875,
68,1990-04-09,PG,8.71875,3129600.0,8.2134375,
69,1990-04-10,PG,8.859375,5066400.0,8.2340625,
70,1990-04-11,PG,8.84375,4547200.0,8.2540625,
71,1990-04-12,PG,8.90625,3771200.0,8.2721875,
72,1990-04-16,PG,8.90625,4760800.0,8.28875,
73,1990-04-17,PG,8.921875,2788000.0,8.304375,
74,1990-04-18,PG,8.78125,5208800.0,8.3159375,
75,1990-04-19,PG,8.65625,4182400.0,8.32625,
76,1990-04-20,PG,8.578125,5370400.0,8.333125,
77,1990-04-23,PG,8.5,3402400.0,8.339375,
78,1990-04-24,PG,8.546875,3174400.0,8.3446875,
79,1990-04-25,PG,8.6875,3319200.0,8.355625,
80,1990-04-26,PG,8.84375,6388000.0,8.3696875,
81,1990-04-27,PG,8.734375,3295200.0,8.3803125,
82,1990-04-30,PG,8.828125,4333600.0,8.3903125,
83,1990-05-01,PG,8.953125,4655200.0,8.4021875,
84,1990-05-02,PG,9.015625,3956800.0,8.419375,
85,1990-05-03,PG,9.0625,5740000.0,8.4390625,
86,1990-05-04,PG,9.1875,3769600.0,8.465,
87,1990-05-07,PG,9.375,6037600.0,8.49625,
88,1990-05-08,PG,9.265625,5148000.0,8.52375,
89,1990-05-09,PG,9.21875,5041600.0,8.5503125,
90,1990-05-10,PG,9.203125,3512800.0,8.5746875,
91,1990-05-11,PG,9.421875,6874400.0,8.6046875,
92,1990-05-14,PG,9.46875,6032000.0,8.635625,
93,1990-05-15,PG,9.515625,5100800.0,8.6675,
94,1990-05-16,PG,9.453125,4015200.0,8.698125,
95,1990-05-17,PG,9.578125,6344800.0,8.73125,
96,1990-05-18,PG,9.5625,5877600.0,8.76,
97,1990-05-21,PG,9.703125,5531200.0,8.791875,
98,1990-05-22,PG,9.890625,8836800.0,8.829375,
99,1990-05-23,PG,9.890625,4626400.0,8.866875,
100,1990-05-24,PG,9.875,2826400.0,8.9015625,
101,1990-05-25,PG,9.71875,2722400.0,8.934375,
102,1990-05-29,PG,10.0,4439200.0,8.96875,
103,1990-05-30,PG,10.25,7239200.0,9.005,
104,1990-05-31,PG,10.328125,6897600.0,9.04125,
105,1990-06-01,PG,10.359375,5504800.0,9.0784375,
106,1990-06-04,PG,10.34375,3952800.0,9.1184375,
107,1990-06-05,PG,10.265625,3208000.0,9.155625,
108,1990-06-06,PG,10.15625,4600800.0,9.1884375,
109,1990-06-07,PG,10.203125,4270400.0,9.22,
110,1990-06-08,PG,10.0,4549600.0,9.2478125,
111,1990-06-11,PG,10.125,3238400.0,9.2796875,
112,1990-06-12,PG,10.53125,5911200.0,9.3209375,
113,1990-06-14,PG,10.40625,3134400.0,9.36,
114,1990-06-15,PG,10.546875,10247200.0,9.3978125,
115,1990-06-18,PG,10.3125,5685600.0,9.4334375,
