,ds,symbol,close,volume,ma50,ma200
0,2004-08-19,GOOG,2.4984,896951215.0,,
1,2004-08-20,GOOG,2.697,458970020.0,,
2,2004-08-23,GOOG,2.7241,366589660.0,,
3,2004-08-24,GOOG,2.6113,306355324.0,,
4,2004-08-25,GOOG,2.6394,184685298.0,,
5,2004-08-26,GOOG,2.687,142615760.0,,
6,2004-08-27,GOOG,2.6432,124797022.0,,
7,2004-08-30,GOOG,2.5401,104045945.0,,
8,2004-08-31,GOOG,2.5491,98931820.0,,
9,2004-09-01,GOOG,2.4963,183607718.0,,
10,2004-09-02,GOOG,2.5276,303539649.0,,
11,2004-09-03,GOOG,2.4903,103545348.0,,
12,2004-09-07,GOOG,2.5294,117102160.0,,
13,2004-09-08,GOOG,2.5473,100208875.0,,
14,2004-09-09,GOOG,2.5476,78366805.0,,
15,2004-09-10,GOOG,2.6227,169644284.0,,
16,2004-09-13,GOOG,2.6768,157487257.0,,
17,2004-09-14,GOOG,2.7761,220413735.0,,
18,2004-09-15,GOOG,2.7888,215293104.0,,
19,2004-09-16,GOOG,2.8379,184897183.0,,
20,2004-09-17,GOOG,2.9255,189645770.0,,
21,2004-09-20,GOOG,2.9721,214260343.0,,
22,2004-09-21,GOOG,2.9343,144734413.0,,
23,2004-09-22,GOOG,2.9477,152082532.0,,
24,2004-09-23,GOOG,3.0084,171426877.0,,
25,2004-09-24,GOOG,2.9838,182958287.0,,
26,2004-09-27,GOOG,2.9447,141838659.0,,
27,2004-09-28,GOOG,3.1588,340399280.0,,
28,2004-09-29,GOOG,3.2639,612941289.0,,
29,2004-09-30,GOOG,3.2271,276709075.0,,
30,2004-10-01,GOOG,3.3013,304026231.0,,
31,2004-10-04,GOOG,3.363,262699175.0,,
32,2004-10-05,GOOG,3.4455,299480975.0,,
33,2004-10-06,GOOG,3.4133,268964494.0,,
34,2004-10-07,GOOG,3.4574,281345494.0,,
35,2004-10-08,GOOG,3.4295,222382270.0,,
36,2004-10-11,GOOG,3.368,210743551.0,,
37,2004-10-12,GOOG,3.4213,237348746.0,,
38,2004-10-13,GOOG,3.5084,396567633.0,,
39,2004-10-14,GOOG,3.5358,210170745.0,,
40,2004-10-15,GOOG,3.5884,265228186.0,,
41,2004-10-18,GOOG,3.7141,282177092.0,,
42,2004-10-19,GOOG,3.6838,364229322.0,,
43,2004-10-20,GOOG,3.4983,457385859.0,,
44,2004-10-21,GOOG,3.7196,602311235.0,,
45,2004-10-22,GOOG,4.2936,1482034992.0,,
46,2004-10-25,GOOG,4.6663,1316126453.0,,
47,2004-10-26,GOOG,4.5269,894902681.0,,
48,2004-10-27,GOOG,4.6307,537020001.0,,
49,2004-10-28,GOOG,4.8132,596540369.0,3.163502,
50,2004-10-29,GOOG,4.747,848889728.0,3.208474,
51,2004-11-01,GOOG,4.8812,491301021.0,3.252158,
52,2004-11-02,GOOG,4.8523,455009899.0,3.2947219999999997,
53,2004-11-03,GOOG,4.7726,555459053.0,3.337948,
54,2004-11-04,GOOG,4.5991,581146306.0,3.377142,
55,2004-11-05,GOOG,4.2168,797027677.0,3.407738,
56,2004-11-08,GOOG,4.2966,449697382.0,3.4408059999999994,
57,2004-11-09,GOOG,4.2006,448139526.0,3.4740159999999998,
58,2004-11-10,GOOG,4.1798,427723144.0,3.50663,
59,2004-11-11,GOOG,4.5572,603291506.0,3.5478479999999997,
60,2004-11-12,GOOG,4.5319,672281136.0,3.587934,
61,2004-11-15,GOOG,4.6033,477955533.0,3.6301939999999995,
62,2004-11-16,GOOG,4.2965,839098702.0,3.6655360000000003,
63,2004-11-17,GOOG,4.2953,726547821.0,3.700496,
64,2004-11-18,GOOG,4.1718,667996119.0,3.73298,
65,2004-11-19,GOOG,4.2181,354073119.0,3.7648880000000005,
66,2004-11-22,GOOG,4.111,496220089.0,3.7935719999999997,
67,2004-11-23,GOOG,4.1713,499054157.0,3.821476,
68,2004-11-24,GOOG,4.3515,610336415.0,3.8527299999999998,
69,2004-11-26,GOOG,4.4668,260227312.0,3.885308,
70,2004-11-29,GOOG,4.5082,428352897.0,3.9169620000000003,
71,2004-11-30,GOOG,4.5314,311015398.0,3.9481479999999998,
