,ds,symbol,close,volume,ma50,ma200
0,1999-01-22,NVDA,0.410156,271468800.0,,
1,1999-01-25,NVDA,0.453125,51048000.0,,
2,1999-01-26,NVDA,0.417969,34320000.0,,
3,1999-01-27,NVDA,0.416667,24436800.0,,
4,1999-01-28,NVDA,0.415365,22752000.0,,
5,1999-01-29,NVDA,0.395833,24403200.0,,
6,1999-02-01,NVDA,0.403646,15470400.0,,
7,1999-02-02,NVDA,0.372396,26409600.0,,
8,1999-02-03,NVDA,0.380208,7512000.0,,
9,1999-02-04,NVDA,0.401042,18192000.0,,
10,1999-02-05,NVDA,0.41276,13684800.0,,
11,1999-02-08,NVDA,0.398438,15408000.0,,
12,1999-02-09,NVDA,0.382813,8697600.0,,
13,1999-02-10,NVDA,0.378906,14822400.0,,
14,1999-02-11,NVDA,0.411458,13224000.0,,
15,1999-02-12,NVDA,0.434896,10972800.0,,
16,1999-02-16,NVDA,0.4375,21100800.0,,
17,1999-02-17,NVDA,0.414063,6772800.0,,
18,1999-02-18,NVDA,0.420573,7070400.0,,
19,1999-02-19,NVDA,0.434896,7536000.0,,
20,1999-02-22,NVDA,0.4375,20524800.0,,
21,1999-02-23,NVDA,0.458333,13809600.0,,
22,1999-02-24,NVDA,0.494792,61276800.0,,
23,1999-02-25,NVDA,0.479167,14913600.0,,
24,1999-02-26,NVDA,0.457031,17260800.0,,
25,1999-03-01,NVDA,0.459635,9216000.0,,
26,1999-03-02,NVDA,0.455729,5524800.0,,
27,1999-03-03,NVDA,0.424479,6139200.0,,
28,1999-03-04,NVDA,0.415365,5736000.0,,
29,1999-03-05,NVDA,0.438802,7876800.0,,
30,1999-03-08,NVDA,0.445313,7588800.0,,
31,1999-03-09,NVDA,0.459635,14318400.0,,
32,1999-03-10,NVDA,0.451823,23534400.0,,
33,1999-03-11,NVDA,0.432292,5428800.0,,
34,1999-03-12,NVDA,0.424479,9076800.0,,
35,1999-03-15,NVDA,0.442708,10881600.0,,
36,1999-03-16,NVDA,0.428385,7915200.0,,
37,1999-03-17,NVDA,0.43099,5136000.0,,
38,1999-03-18,NVDA,0.436198,4632000.0,,
39,1999-03-19,NVDA,0.4375,10531200.0,,
40,1999-03-22,NVDA,0.424479,3667200.0,,
41,1999-03-23,NVDA,0.398438,16396800.0,,
42,1999-03-24,NVDA,0.395833,6086400.0,,
43,1999-03-25,NVDA,0.401042,4032000.0,,
44,1999-03-26,NVDA,0.436198,8827200.0,,
45,1999-03-29,NVDA,0.449219,6595200.0,,
46,1999-03-30,NVDA,0.411458,6950400.0,,
47,1999-03-31,NVDA,0.440104,15360000.0,,
48,1999-04-01,NVDA,0.427083,3043200.0,,
49,1999-04-05,NVDA,0.414063,9864000.0,0.42601565999999996,
50,1999-04-06,NVDA,0.403646,6969600.0,0.42588546,
51,1999-04-07,NVDA,0.4375,8928000.0,0.42557296,
52,1999-04-08,NVDA,0.445313,13012800.0,0.42611983999999997,
53,1999-04-09,NVDA,0.4375,4862400.0,0.4265365,
54,1999-04-12,NVDA,0.419271,3331200.0,0.42661462,
55,1999-04-13,NVDA,0.402344,3614400.0,0.42674484,
56,1999-04-14,NVDA,0.390625,4828800.0,0.42648442000000003,
57,1999-04-15,NVDA,0.401042,3585600.0,0.42705734,
58,1999-04-16,NVDA,0.414063,3892800.0,0.42773444,
59,1999-04-19,NVDA,0.395833,3129600.0,0.42763026,
60,1999-04-20,NVDA,0.388021,6768000.0,0.42713548,
61,1999-04-21,NVDA,0.394531,3748800.0,0.42705734,
62,1999-04-22,NVDA,0.377604,22718400.0,0.42695316,
63,1999-04-23,NVDA,0.359375,12604800.0,0.42656254000000005,
64,1999-04-26,NVDA,0.341146,12350400.0,0.42515629999999993,
65,1999-04-27,NVDA,0.377604,22694400.0,0.42401046000000003,
66,1999-04-28,NVDA,0.375,12009600.0,0.42276046,
67,1999-04-29,NVDA,0.375,4814400.0,0.42197920000000005,
68,1999-04-30,NVDA,0.380208,9931200.0,0.4211719,
69,1999-05-03,NVDA,0.382813,3384000.0,0.42013023999999993,
70,1999-05-04,NVDA,0.361979,9604800.0,0.41861982,
71,1999-05-05,NVDA,0.369792,14457600.0,0.41684899999999997,
72,1999-05-06,NVDA,0.36263,3561600.0,0.41420576,
73,1999-05-07,NVDA,0.364583,2500800.0,0.41191408,
74,1999-05-10,NVDA,0.364583,1968000.0,0.41006512,
75,1999-05-11,NVDA,0.384115,17174400.0,0.40855472,
76,1999-05-12,NVDA,0.395833,16848000.0,0.4073568,
77,1999-05-13,NVDA,0.395833,6993600.0,0.40678388,
78,1999-05-14,NVDA,0.375,2846400.0,0.40597658000000003,
79,1999-05-17,NVDA,0.393229,3576000.0,0.40506512,
80,1999-05-18,NVDA,0.411458,15153600.0,0.40438802,
81,1999-05-19,NVDA,0.393229,45172800.0,0.4030599,
82,1999-05-20,NVDA,0.361979,17817600.0,0.40126302,
83,1999-05-21,NVDA,0.354167,30350400.0,0.39970052,
84,1999-05-24,NVDA,0.352865,16262400.0,0.39826823999999994,
85,1999-05-25,NVDA,0.355469,13008000.0,0.39652345999999994,
86,1999-05-26,NVDA,0.354167,10473600.0,0.3950391,
87,1999-05-27,NVDA,0.351563,8232000.0,0.39345056,
88,1999-05-28,NVDA,0.355469,8865600.0,0.39183598000000003,
89,1999-06-01,NVDA,0.356771,9854400.0,0.3902214,
90,1999-06-02,NVDA,0.34375,13012800.0,0.38860681999999996,
91,1999-06-03,NVDA,0.352865,4156800.0,0.38769536000000004,
92,1999-06-04,NVDA,0.355469,7891200.0,0.38688808,
93,1999-06-07,NVDA,0.359375,12513600.0,0.38605474,
94,1999-06-08,NVDA,0.36849,15331200.0,0.38470058,
