ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2021-04-12,131.24,112.7395,161.64,53.35,255.91,152.09,136.92,233.9933
2021-04-13,134.43,113.3635,159.48,53.09,258.49,156.795,135.11,254.1067
2021-04-14,132.03,112.742,159.92,53.08,255.59,152.77,135.6,244.0767
2021-04-15,134.5,114.833,160.39,53.33,259.5,161.3725,137.24,246.2833
2021-04-16,134.16,114.888,162.24,53.68,260.74,159.125,137.25,246.5933
2021-04-19,134.84,115.12,162.69,54.0,258.74,153.6175,136.61,238.21
2021-04-20,133.11,114.6815,166.48,54.17,258.26,151.7125,137.75,239.6633
2021-04-21,133.5,114.6645,166.59,54.61,260.58,153.605,136.85,248.04
2021-04-22,131.94,113.396,165.18,54.44,257.17,148.5025,134.63,239.8967
2021-04-23,134.32,115.765,165.52,54.47,261.15,152.6525,133.94,243.1333
2021-04-26,134.72,116.337,164.12,53.66,261.55,154.78,131.26,246.0667
2021-04-27,134.39,115.356,163.18,53.58,261.97,153.8175,131.18,234.9133
2021-04-28,133.58,118.9955,161.98,53.59,254.56,152.7675,131.4,231.4667
2021-04-29,133.48,121.4945,164.2,54.26,252.51,153.2475,132.51,225.6667
2021-04-30,131.46,120.506,162.73,53.98,252.18,150.095,133.42,236.48
2021-05-03,132.54,119.7585,165.21,54.48,251.86,148.3675,135.0,228.3
2021-05-04,127.85,117.7125,167.77,54.14,247.79,143.5125,134.54,224.5333
2021-05-05,128.1,117.837,167.07,54.0,246.47,144.585,133.46,223.6467
2021-05-06,129.74,119.0675,167.74,54.54,249.73,145.23,135.14,221.18
2021-05-07,130.21,119.9345,168.5,54.51,252.46,148.1225,135.15,224.1233
2021-05-10,126.85,117.083,170.27,54.91,247.18,142.6575,137.67,209.68
2021-05-11,125.91,115.438,168.88,54.32,246.23,143.0625,136.99,205.7333
2021-05-12,122.77,111.954,168.2,54.04,239.0,137.585,135.54,196.63
2021-05-13,124.97,113.0985,169.96,54.51,243.03,136.6525,137.72,190.5633
2021-05-14,127.45,115.808,170.22,54.73,248.15,142.43,138.01,196.58
2021-05-17,126.27,116.0705,170.39,54.64,245.18,141.655,137.73,192.2767
